Type ,Before,After
Nose,0.0078,-0.0559
Nose,0.0874,0.3254
Nose,0.1165,-0.0286
Nose,-0.6674,0
Nose,0.0755,-0.0979
Nose,0.0556,-0.1716
Nose,0.1588,-0.2221
Nose,0,-1.3683
Nose,1.3683,0.198
Nose,-0.0396,-0.0827
Nose,0.4964,-0.3567
Nose,0.1487,-0.0297
Nose,0.0712,0.1389
Nose,-0.102,-0.0912
Nose,-0.2501,-0.011
Nose,0.0083,0.0325
Nose,-0.0263,-0.718
Nose,0.718,-0.4721
Nose,0.4721,0.205
Nose,-0.1909,-0.1517
Nose,0.221,0.0419
Nose,0.042,-0.1864
Nose,0,0.603
Nose,0,0
Nose,0.1472,-0.6415
Nose,-0.3015,0.4058
Nose,0,-0.0097
Nose,0,-0.8771
Nose,0.6415,-0.8874
Nose,0.0073,0.0854
Nose,0.0311,-0.249
Nose,0,-0.023
Nose,0.5196,-0.4946
Nose,0.8488,-0.1913
Nose,-0.0821,
Nose,0,
Nose,0.2254,
Nose,0.0473,
Nose,0.3323,
Nose,0.2015,
Ear,0.1633,-0.2365
Ear,-0.2643,-0.2108
Ear,0.5873,-0.2825
Ear,-0.4221,0.9604
Ear,-0.0766,0
Ear,-0.0419,0.0415
Ear,-0.0754,0.2026
Ear,-0.017,0.1081
Ear,-0.2566,0.1837
Ear,-0.2035,-0.0246
Ear,0.2461,-0.1158
Ear,0.0882,-0.1001
Ear,0.0934,0.0301
Ear,0.048,-0.0552
Ear,0.0078,-0.0117
Ear,-0.0717,0.1298
Ear,-0.0867,0.1304
Ear,-0.073,0.0862
Ear,-0.2599,0.234
Ear,-0.0922,0.0922
Ear,0.0952,-0.0842
Ear,-0.2747,0.2361
Ear,0.0223,-0.0195
Ear,0.1645,-0.0659
Ear,-0.0924,0.1092
Ear,0.1214,-0.3395
Ear,-0.0622,-0.0027
Ear,-0.3713,0.1499
Ear,-0.1793,0.2802
Ear,-0.3487,0.5498
Ear,0.0338,-0.1463
Ear,0.1346,-0.1005
Ear,0.1523,-0.0076
Ear,0.2715,-0.1924
Ear,-0.6969,0
Ear,0,0.5503
Ear,-0.0849,0.2415
Ear,0,0
Ear,0.1483,0.4649
Ear,0.0901,-0.0528
Ear,-0.1064,0.3573
Ear,-0.0557,-0.0703
Ear,0.0266,-0.1667
Ear,0.2648,-0.2091
Ear,0.1609,-0.1387
Ear,-0.0118,0.0021
Ear,-0.2577,-0.0084
Ear,0.2545,-0.1758
Ear,0.3251,-0.4058
Ear,0.3184,0.5403
Ear,-0.3061,0.6355
Ear,-0.5084,0.1597
Ear,-0.1597,0.0535
Ear,-0.0154,-0.2311
Ear,0.1247,0.0071
Ear,-0.0012,-0.1034
Ear,0.1285,0.2874
Ear,-0.081,0.0304
Ear,-0.1682,0.2291
Ear,-0.2688,-0.112
Ear,0.0835,-0.0044
Ear,0.0305,0.4114
Ear,-0.3226,0.1999
Ear,-0.313,-0.4084
Ear,0.2723,0.1962
Ear,0.1049,0.1745
Ear,-0.2883,0.4416
Ear,0,0.1176
Ear,0,0.0982
Ear,-0.5214,
Ear,-0.0274,
Ear,-0.0683,
