Region,Vocalization,Time,Temperature
Nose,Bark,-20,0.4565
Nose,Bark,-14,0.1585
Nose,Bark,-27,0.5098
Nose,Bark,-13,0.0818
Nose,Bark,-9,-0.1585
Nose,Bark,-22,0.5605
Nose,Bark,-8,-1.6502
Nose,Bark,-18,0.3712
Nose,Bark,-4,1.7187
Nose,Bark,-14,0.3545
Nose,Bark,0,0.4983
Nose,Bark,-7,0.1823
Nose,Bark,3,-0.8663
Nose,Bark,0,0.0153
Nose,Bark,7,-0.088
Nose,Bark,4,-0.2129
Nose,Bark,11,-0.1508
Nose,Bark,17,-0.9932
Nose,Bark,21,-0.7874
Ear,Bark,-20,-1.4463
Ear,Bark,-19,-0.292
Ear,Bark,-18,0.0551
Ear,Bark,-13,0.0991
Ear,Bark,-14,-0.2143
Ear,Bark,-13,0.1087
Ear,Bark,-8,0.1331
Ear,Bark,-9,-0.5877
Ear,Bark,-8,-0.0154
Ear,Bark,-4,0.1651
Ear,Bark,-5,-0.5554
Ear,Bark,-4,0.2537
Ear,Bark,0,-0.8075
Ear,Bark,0,-0.0943
Ear,Bark,0,0.2708
Ear,Bark,3,0.041
Ear,Bark,4,-0.1838
Ear,Bark,4,0.2562
Ear,Bark,7,0.2062
Ear,Bark,8,1.9274
Ear,Bark,22,0.1137
Ear,Bark,11,0.5665
Ear,Bark,26,-1.0428
Ear,Bark,15,0.3024
Ear,Bark,23,0.1227
Ear,Bark,27,0.6177
Nose,Scream,-29,0.1644
Nose,Scream,-30,0.2338
Nose,Scream,-23,0.0177
Nose,Scream,-30,0.7503
Nose,Scream,-28,0.3562
Nose,Scream,-23,0.2186
Nose,Scream,-22,-1.3063
Nose,Scream,-26,0.3049
Nose,Scream,-18,-0.019
Nose,Scream,-26,0.6553
Nose,Scream,-11,1.398
Nose,Scream,-18,0.8971
Nose,Scream,-17,0.4147
Nose,Scream,-21,0.517
Nose,Scream,-13,0.0696
Nose,Scream,-4,-0.4736
Nose,Scream,0,-0.1953
Nose,Scream,-14,0.4342
Nose,Scream,-12,-0.0921
Nose,Scream,-16,0.0758
Nose,Scream,-8,0.08
Nose,Scream,0,-0.3434
Nose,Scream,7,-1.5589
Nose,Scream,-10,-0.7286
Nose,Scream,-6,0.6214
Nose,Scream,-12,0.3212
Nose,Scream,0,0.208
Nose,Scream,4,-0.5199
Nose,Scream,-5,0.3268
Nose,Scream,8,0.198
Nose,Scream,-8,0.1576
Nose,Scream,5,0.8106
Nose,Scream,7,-0.2689
Nose,Scream,0,0.0611
Nose,Scream,-4,-0.1834
Nose,Scream,10,-0.4823
Nose,Scream,15,0.2313
Nose,Scream,4,-0.017
Nose,Scream,0,-0.2376
Nose,Scream,15,-0.2844
Nose,Scream,19,-0.0312
Nose,Scream,8,-0.0739
Nose,Scream,3,-0.2397
Nose,Scream,23,-0.4001
Nose,Scream,12,-1.2741
Nose,Scream,7,-0.3489
Nose,Scream,16,-0.218
Nose,Scream,16,-0.6007
Nose,Scream,24,0.3738
Ear,Scream,-29,-0.3569
Ear,Scream,-30,0.1312
Ear,Scream,-30,0.3206
Ear,Scream,-23,0.2846
Ear,Scream,-29,0.0255
Ear,Scream,-30,-0.3013
Ear,Scream,-30,0.0807
Ear,Scream,-28,0.1983
Ear,Scream,-28,-0.1132
Ear,Scream,-27,0.4668
Ear,Scream,-30,-0.0012
Ear,Scream,-23,-1.047
Ear,Scream,-22,0.1154
Ear,Scream,-26,0.1023
Ear,Scream,-26,0.2033
Ear,Scream,-18,-0.8763
Ear,Scream,-25,-0.1808
Ear,Scream,-26,-0.1536
Ear,Scream,-25,0.0186
Ear,Scream,-23,0.0859
Ear,Scream,-25,0.4483
Ear,Scream,-22,0.1582
Ear,Scream,-26,-0.1558
Ear,Scream,-18,0.2414
Ear,Scream,-17,0.5435
Ear,Scream,-21,0.1428
Ear,Scream,-21,0.0477
Ear,Scream,-13,0.0382
Ear,Scream,-20,-0.1067
Ear,Scream,-4,0.493
Ear,Scream,-20,-0.1682
Ear,Scream,-15,0.2147
Ear,Scream,-21,0.3549
Ear,Scream,-17,0.0973
Ear,Scream,-23,-0.0145
Ear,Scream,-14,-0.3028
Ear,Scream,-12,0.23
Ear,Scream,-16,-0.0876
Ear,Scream,-16,-0.1693
Ear,Scream,-8,-0.0954
Ear,Scream,-15,-0.1063
Ear,Scream,0,0.5712
Ear,Scream,-16,0.0151
Ear,Scream,-9,-0.0066
Ear,Scream,-17,-0.2174
Ear,Scream,-13,0.0988
Ear,Scream,-18,-0.4538
Ear,Scream,-10,0.1912
Ear,Scream,-6,-0.0316
Ear,Scream,-12,0.0067
Ear,Scream,-12,-0.1386
Ear,Scream,0,0.2902
Ear,Scream,-10,-0.1139
Ear,Scream,4,0.462
Ear,Scream,-10,-0.0687
Ear,Scream,0,-0.359
Ear,Scream,-7,0.5275
Ear,Scream,-8,0.1114
Ear,Scream,-14,-0.04
Ear,Scream,-5,0.3281
Ear,Scream,0,0.0287
Ear,Scream,-8,0.0892
Ear,Scream,-8,0.1296
Ear,Scream,5,1.2126
Ear,Scream,-4,0.0511
Ear,Scream,7,0.1961
Ear,Scream,-6,0.1225
Ear,Scream,2,-0.0982
Ear,Scream,0,0.5884
Ear,Scream,-4,-0.519
Ear,Scream,-10,-0.1063
Ear,Scream,0,0.1794
Ear,Scream,4,-0.0585
Ear,Scream,-4,-0.1086
Ear,Scream,-4,-0.3113
Ear,Scream,10,-0.2819
Ear,Scream,0,-0.0797
Ear,Scream,15,-0.3193
Ear,Scream,7,0.0673
Ear,Scream,7,0.4452
Ear,Scream,0,0.4861
Ear,Scream,-4,-0.0519
Ear,Scream,4,0.2146
Ear,Scream,8,-0.2349
Ear,Scream,0,0.1078
Ear,Scream,0,-0.0198
Ear,Scream,15,-1.0952
Ear,Scream,4,0.2191
Ear,Scream,19,-0.948
Ear,Scream,11,-0.1052
Ear,Scream,13,-0.2152
Ear,Scream,4,0.6956
Ear,Scream,0,0.6041
Ear,Scream,8,0.473
Ear,Scream,12,-0.0804
Ear,Scream,3,0.1382
Ear,Scream,5,-0.0036
Ear,Scream,23,0.5232
Ear,Scream,8,0.3092
Ear,Scream,15,-0.4085
Ear,Scream,17,-0.5122
Ear,Scream,8,-0.5195
Ear,Scream,5,0.236
Ear,Scream,12,0.2584
Ear,Scream,17,-0.1553
Ear,Scream,7,0.0442
Ear,Scream,9,-0.0245
Ear,Scream,12,0.1156
Ear,Scream,22,0.2606
Ear,Scream,21,-0.6733
Ear,Scream,21,-1.0758
Ear,Scream,9,0.1044
Ear,Scream,16,0.8602
Ear,Scream,16,-0.329
Ear,Scream,13,-0.034
Ear,Scream,21,-0.1331
Ear,Scream,26,0.1508
Ear,Scream,25,-0.633
Ear,Scream,13,-0.1778
Ear,Scream,20,-1.3964
Ear,Scream,25,-0.2371
Ear,Scream,16,0.0589
Ear,Scream,17,-0.2487
Ear,Scream,20,0.0328
Ear,Scream,21,0.1418
Ear,Scream,25,-0.0917
Ear,Scream,25,0.1637
Nose,Whimper,-30,1.3683
Nose,Whimper,-24,0.6826
Nose,Whimper,16,-1.3683
Nose,Whimper,-19,0.4914
Nose,Whimper,-12,2.788
Nose,Whimper,-8,-0.2475
Nose,Whimper,-4,0.7227
Nose,Whimper,0,0.6557
Nose,Whimper,3,-1.7517
Nose,Whimper,8,-1.9273
Nose,Whimper,14,-2.0738
Nose,Whimper,20,0.66
Ear,Whimper,-30,0.0524
Ear,Whimper,-26,-0.1005
Ear,Whimper,-24,0.7059
Ear,Whimper,-21,0.0335
Ear,Whimper,-11,-0.4459
Ear,Whimper,-19,0.1272
Ear,Whimper,-17,-0.1059
Ear,Whimper,-7,0.0338
Ear,Whimper,-12,1.1959
Ear,Whimper,-11,0.1586
Ear,Whimper,-3,0.2712
Ear,Whimper,0,-0.7553
Ear,Whimper,-5,0.5561
Ear,Whimper,0,0.2415
Ear,Whimper,3,-1.1977
Ear,Whimper,0,0.7819
Ear,Whimper,8,-0.076
Ear,Whimper,4,0.6578
Ear,Whimper,14,-0.9869
Ear,Whimper,8,0.1638
Ear,Whimper,20,0.9868
